out_folder	locus_specification	shuffle_parameter	ctcf_selection_threshold	mutation_method	GC_content
data	chr1,125011968,126322688	8	8	randomise_motif	0.426495361328125
data	chr1,125011968,126322688	8	12	permute_whole_seq	0.426495361328125
data	chr1,125011968,126322688	8	12	randomise_whole_seq	0.426495361328125
data	chr1,125011968,126322688	8	12	mask_motif	0.426495361328125
data	chr1,125011968,126322688	8	12	permute_motif	0.426495361328125
data	chr1,125011968,126322688	8	12	randomise_motif	0.426495361328125
data	chr2,117581824,118892544	2	4	permute_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	2	4	randomise_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	2	4	mask_motif	0.4400825500488281
data	chr2,117581824,118892544	2	4	permute_motif	0.4400825500488281
data	chr2,117581824,118892544	2	4	randomise_motif	0.4400825500488281
data	chr2,117581824,118892544	2	8	permute_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	2	8	randomise_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	2	8	mask_motif	0.4400825500488281
data	chr2,117581824,118892544	2	8	permute_motif	0.4400825500488281
data	chr2,117581824,118892544	2	8	randomise_motif	0.4400825500488281
data	chr2,117581824,118892544	2	12	permute_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	2	12	randomise_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	2	12	mask_motif	0.4400825500488281
data	chr2,117581824,118892544	2	12	permute_motif	0.4400825500488281
data	chr2,117581824,118892544	2	12	randomise_motif	0.4400825500488281
data	chr2,117581824,118892544	4	4	permute_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	4	4	randomise_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	4	4	mask_motif	0.4400825500488281
data	chr2,117581824,118892544	4	4	permute_motif	0.4400825500488281
data	chr2,117581824,118892544	4	4	randomise_motif	0.4400825500488281
data	chr2,117581824,118892544	4	8	permute_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	4	8	randomise_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	4	8	mask_motif	0.4400825500488281
data	chr2,117581824,118892544	4	8	permute_motif	0.4400825500488281
data	chr2,117581824,118892544	4	8	randomise_motif	0.4400825500488281
data	chr2,117581824,118892544	4	12	permute_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	4	12	randomise_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	4	12	mask_motif	0.4400825500488281
data	chr2,117581824,118892544	4	12	permute_motif	0.4400825500488281
data	chr2,117581824,118892544	4	12	randomise_motif	0.4400825500488281
data	chr2,117581824,118892544	8	4	permute_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	8	4	randomise_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	8	4	mask_motif	0.4400825500488281
data	chr2,117581824,118892544	8	4	permute_motif	0.4400825500488281
data	chr2,117581824,118892544	8	4	randomise_motif	0.4400825500488281
data	chr2,117581824,118892544	8	8	permute_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	8	8	randomise_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	8	8	mask_motif	0.4400825500488281
data	chr2,117581824,118892544	8	8	permute_motif	0.4400825500488281
data	chr2,117581824,118892544	8	8	randomise_motif	0.4400825500488281
data	chr2,117581824,118892544	8	12	permute_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	8	12	randomise_whole_seq	0.4400825500488281
data	chr2,117581824,118892544	8	12	mask_motif	0.4400825500488281
data	chr2,117581824,118892544	8	12	permute_motif	0.4400825500488281
data	chr2,117581824,118892544	8	12	randomise_motif	0.4400825500488281
data	chr2,157696000,159006720	2	4	permute_whole_seq	0.4753173828125
data	chr2,157696000,159006720	2	4	randomise_whole_seq	0.4753173828125
data	chr2,157696000,159006720	2	4	mask_motif	0.4753173828125
data	chr2,157696000,159006720	2	4	permute_motif	0.4753173828125
data	chr2,157696000,159006720	2	4	randomise_motif	0.4753173828125
data	chr2,157696000,159006720	2	8	permute_whole_seq	0.4753173828125
data	chr2,157696000,159006720	2	8	randomise_whole_seq	0.4753173828125
data	chr2,157696000,159006720	2	8	mask_motif	0.4753173828125
data	chr2,157696000,159006720	2	8	permute_motif	0.4753173828125
data	chr2,157696000,159006720	2	8	randomise_motif	0.4753173828125
data	chr2,157696000,159006720	2	12	permute_whole_seq	0.4753173828125
data	chr2,157696000,159006720	2	12	randomise_whole_seq	0.4753173828125
data	chr2,157696000,159006720	2	12	mask_motif	0.4753173828125
data	chr2,157696000,159006720	2	12	permute_motif	0.4753173828125
data	chr2,157696000,159006720	2	12	randomise_motif	0.4753173828125
data	chr2,157696000,159006720	4	4	permute_whole_seq	0.4753173828125
data	chr2,157696000,159006720	4	4	randomise_whole_seq	0.4753173828125
data	chr2,157696000,159006720	4	4	mask_motif	0.4753173828125
data	chr2,157696000,159006720	4	4	permute_motif	0.4753173828125
data	chr2,157696000,159006720	4	4	randomise_motif	0.4753173828125
data	chr2,157696000,159006720	4	8	permute_whole_seq	0.4753173828125
data	chr2,157696000,159006720	4	8	randomise_whole_seq	0.4753173828125
data	chr2,157696000,159006720	4	8	mask_motif	0.4753173828125
data	chr2,157696000,159006720	4	8	permute_motif	0.4753173828125
data	chr2,157696000,159006720	4	8	randomise_motif	0.4753173828125
data	chr2,157696000,159006720	4	12	permute_whole_seq	0.4753173828125
data	chr2,157696000,159006720	4	12	randomise_whole_seq	0.4753173828125
data	chr2,157696000,159006720	4	12	mask_motif	0.4753173828125
data	chr2,157696000,159006720	4	12	permute_motif	0.4753173828125
data	chr2,157696000,159006720	4	12	randomise_motif	0.4753173828125
data	chr2,157696000,159006720	8	4	permute_whole_seq	0.4753173828125
data	chr2,157696000,159006720	8	4	randomise_whole_seq	0.4753173828125
data	chr2,157696000,159006720	8	4	mask_motif	0.4753173828125
data	chr2,157696000,159006720	8	4	permute_motif	0.4753173828125
data	chr2,157696000,159006720	8	4	randomise_motif	0.4753173828125
data	chr2,157696000,159006720	8	8	permute_whole_seq	0.4753173828125
data	chr2,157696000,159006720	8	8	randomise_whole_seq	0.4753173828125
data	chr2,157696000,159006720	8	8	mask_motif	0.4753173828125
data	chr2,157696000,159006720	8	8	permute_motif	0.4753173828125
data	chr2,157696000,159006720	8	8	randomise_motif	0.4753173828125
data	chr2,157696000,159006720	8	12	permute_whole_seq	0.4753173828125
data	chr2,157696000,159006720	8	12	randomise_whole_seq	0.4753173828125
data	chr2,157696000,159006720	8	12	mask_motif	0.4753173828125
data	chr2,157696000,159006720	8	12	permute_motif	0.4753173828125
data	chr2,157696000,159006720	8	12	randomise_motif	0.4753173828125
